store_id,product_id,product_name,avg_monthly_sales,peak_monthly_sales,avg_max_order_size,current_stock,suggested_base_stock,suggested_max_stock
1,126,Surly Big Fat Dummy Frameset - 2018,4.0,4,2.0,28,6.0,5.0
1,198,Electra Townie Commute Go! - 2018,4.0,4,2.0,1,6.0,5.0
1,216,Electra Super Moto 8i - 2018,4.0,4,2.0,11,6.0,5.0
1,15,Electra Moto 1 - 2016,3.125,7,2.0,3,5.0,8.0
1,49,Trek Domane SL 6 - 2017,3.0,3,2.0,8,5.0,4.0
1,56,Trek Domane SLR 6 Disc - 2017,3.0,3,2.0,15,5.0,4.0
1,61,Trek Powerfly 8 FS Plus - 2017,3.0,4,2.0,30,5.0,5.0
1,68,Sun Bicycles Cruz 3 - 2017,3.0,6,1.6666666666666667,30,5.0,7.0
1,87,Trek Precaliber 12 Boys - 2017,3.0,4,2.0,27,5.0,5.0
1,172,Trek Domane ALR Disc Frameset - 2018,3.0,3,2.0,3,5.0,4.0
1,196,Trek Verve+ - 2018,3.0,3,2.0,26,5.0,4.0
1,213,Electra Cruiser 1 - 2016/2017/2018,3.0,3,2.0,14,5.0,4.0
1,215,Electra Queen of Hearts 3i - 2018,3.0,3,2.0,1,5.0,4.0
1,224,Electra Cruiser Lux 7D - 2018,3.0,3,2.0,16,5.0,4.0
1,260,Electra Townie Balloon 3i EQ Ladies' - 2018,3.0,3,2.0,20,5.0,4.0
1,286,"Electra Starship 1 16"" - 2018",3.0,3,2.0,28,5.0,4.0
1,10,Surly Straggler - 2016,2.769230769230769,6,1.6923076923076923,15,4.0,7.0
1,11,Surly Straggler 650b - 2016,2.7142857142857144,7,1.7857142857142858,8,4.0,8.0
1,45,Haro SR 1.2 - 2017,2.6,4,2.0,15,4.0,5.0
1,4,Trek Fuel EX 8 29 - 2016,2.5833333333333335,5,1.5833333333333333,23,4.0,6.0
1,17,Pure Cycles Vine 8-Speed - 2016,2.5833333333333335,6,1.6666666666666667,2,4.0,7.0
