order_month,category_name,total_sales,growth_rate
2016-01-01,Children Bicycles,7515.3313,
2016-02-01,Children Bicycles,11260.1055,0.4982846464799229
2016-03-01,Children Bicycles,5485.302600000001,-0.5128551326628332
2016-04-01,Children Bicycles,4081.6518,-0.255893047723566
2016-05-01,Children Bicycles,5351.506899999999,0.31111304006872875
2016-06-01,Children Bicycles,5751.3946000000005,0.07472431736937524
2016-07-01,Children Bicycles,5900.789199999999,0.02597536952168067
2016-08-01,Children Bicycles,8837.6817,0.4977118145484676
2016-09-01,Children Bicycles,8053.813300000001,-0.08869615659500374
2016-10-01,Children Bicycles,11782.9798,0.4630311581719926
2016-11-01,Children Bicycles,4779.129000000001,-0.5944040403090565
2016-12-01,Children Bicycles,7866.0215,0.6459111063961651
2017-01-01,Children Bicycles,11563.207,0.47001975522187434
2017-02-01,Children Bicycles,12752.0355,0.10281131350498174
2017-03-01,Children Bicycles,16301.5035,0.27834521006469903
2017-04-01,Children Bicycles,14763.682000000003,-0.09433617580120746
2017-05-01,Children Bicycles,9324.768500000002,-0.36839817465588864
2017-06-01,Children Bicycles,10694.819,0.14692595317513746
2017-07-01,Children Bicycles,13020.0485,0.2174164424849081
2017-08-01,Children Bicycles,11459.4329,-0.11986250281632982
2017-09-01,Children Bicycles,12528.7713,0.09331512382257601
2017-10-01,Children Bicycles,11997.3178,-0.0424186448355075
2017-11-01,Children Bicycles,10969.8955,-0.08563766644574511
2017-12-01,Children Bicycles,8983.2824,-0.18109681172441439
2018-01-01,Children Bicycles,8565.3563,-0.04652264967201747
2018-02-01,Children Bicycles,6234.054499999999,-0.2721780295350936
2018-03-01,Children Bicycles,14162.489300000001,1.2717942712884533
2016-01-01,Comfort Bicycles,9056.3361,
2016-02-01,Comfort Bicycles,18159.6613,1.0051885331420065
2016-03-01,Comfort Bicycles,12542.772700000001,-0.3093058018653684
2016-04-01,Comfort Bicycles,7588.859399999999,-0.39496157815249266
2016-05-01,Comfort Bicycles,12724.762200000001,0.6767687381321101
2016-06-01,Comfort Bicycles,8895.8358,-0.3009035720919012
2016-07-01,Comfort Bicycles,9755.322100000001,0.09661670014187984
2016-08-01,Comfort Bicycles,15168.7217,0.5549175664840424
2016-09-01,Comfort Bicycles,15471.722500000002,0.01997536812874623
2016-10-01,Comfort Bicycles,15799.2111,0.021166912733860066
2016-11-01,Comfort Bicycles,13205.7605,-0.16415063914172268
2016-12-01,Comfort Bicycles,13043.763500000003,-0.01226714659863759
2017-01-01,Comfort Bicycles,15296.973499999998,0.17274232241331222
2017-02-01,Comfort Bicycles,15768.4087,0.030818854461635903
2017-03-01,Comfort Bicycles,11117.691799999999,-0.29493888625552944
2017-04-01,Comfort Bicycles,14493.475400000003,0.30364068915815823
2017-05-01,Comfort Bicycles,14194.6119,-0.020620554542770564
2017-06-01,Comfort Bicycles,14158.994099999998,-0.002509247892857225
2017-07-01,Comfort Bicycles,9504.8379,-0.32870669816862186
2017-08-01,Comfort Bicycles,14251.406899999998,0.499384529219588
2017-09-01,Comfort Bicycles,13609.2235,-0.04506105288453999
2017-10-01,Comfort Bicycles,18761.5003,0.37858712512142967
2017-11-01,Comfort Bicycles,9264.0182,-0.5062218878092601
2017-12-01,Comfort Bicycles,13175.587399999997,0.4222324606400272
2018-01-01,Comfort Bicycles,11241.9903,-0.14675604519916874
2018-02-01,Comfort Bicycles,7131.821599999999,-0.3656086324856552
2018-03-01,Comfort Bicycles,13066.725799999998,0.8321722741914912
2016-01-01,Cruisers Bicycles,34057.210999999996,
2016-02-01,Cruisers Bicycles,29078.837499999998,-0.14617678176877136
2016-03-01,Cruisers Bicycles,36516.989799999996,0.25579262926174406
2016-04-01,Cruisers Bicycles,28558.720200000003,-0.21793334126352315
2016-05-01,Cruisers Bicycles,29908.450100000002,0.04726156811466642
2016-06-01,Cruisers Bicycles,21490.1257,-0.2814697642924666
2016-07-01,Cruisers Bicycles,29978.002200000003,0.3949663495918967
2016-08-01,Cruisers Bicycles,28778.85370000001,-0.04000094776162211
2016-09-01,Cruisers Bicycles,37894.7506,0.31675677547921177
2016-10-01,Cruisers Bicycles,34710.568400000004,-0.08402699977130856
2016-11-01,Cruisers Bicycles,25219.486399999994,-0.27343493458897117
2016-12-01,Cruisers Bicycles,33290.94239999999,0.32004838924872003
2017-01-01,Cruisers Bicycles,19089.46,-0.42658697460003403
2017-02-01,Cruisers Bicycles,24190.686199999996,0.2672273704965986
2017-03-01,Cruisers Bicycles,35515.276,0.4681384275903675
2017-04-01,Cruisers Bicycles,30612.770300000004,-0.13803935241837895
2017-05-01,Cruisers Bicycles,26134.856999999993,-0.14627599057900387
2017-06-01,Cruisers Bicycles,45200.7,0.7295177853852428
2017-07-01,Cruisers Bicycles,32388.337899999995,-0.28345494870654664
2017-08-01,Cruisers Bicycles,35346.897000000004,0.09134643182785895
2017-09-01,Cruisers Bicycles,22043.9394,-0.37635432609544206
2017-10-01,Cruisers Bicycles,40712.7209,0.8468895310064226
2017-11-01,Cruisers Bicycles,29813.2278,-0.26771713752003246
2017-12-01,Cruisers Bicycles,29959.0308,0.004890547275796742
2018-01-01,Cruisers Bicycles,36704.778600000005,0.2251657553621529
2018-02-01,Cruisers Bicycles,23527.6647,-0.35900268037579175
2018-03-01,Cruisers Bicycles,65801.11769999997,1.7967551620199673
2016-01-01,Cyclocross Bicycles,26006.9925,
2016-02-01,Cyclocross Bicycles,16297.326999999997,-0.37334826393324805
2016-03-01,Cyclocross Bicycles,14541.930999999999,-0.10771066936314155
2016-04-01,Cyclocross Bicycles,31824.4149,1.1884586648086835
2016-05-01,Cyclocross Bicycles,32276.6412,0.014210042868690653
2016-06-01,Cyclocross Bicycles,31537.7309,-0.022893035722688526
2016-07-01,Cyclocross Bicycles,34307.9716,0.08783893517209251
2016-08-01,Cyclocross Bicycles,30261.716500000002,-0.11793921095585824
2016-09-01,Cyclocross Bicycles,25447.588599999995,-0.15908310752960775
2016-10-01,Cyclocross Bicycles,27811.458499999997,0.09289170526750823
2016-11-01,Cyclocross Bicycles,22153.2524,-0.20344873678595443
2016-12-01,Cyclocross Bicycles,35417.226800000004,0.5987371136528921
2017-01-01,Cyclocross Bicycles,21190.730099999997,-0.40168296575947626
2017-02-01,Cyclocross Bicycles,31195.256100000002,0.4721180418413242
2017-03-01,Cyclocross Bicycles,29467.131100000002,-0.055397044809002205
2017-04-01,Cyclocross Bicycles,13533.657,-0.5407202365893028
2017-05-01,Cyclocross Bicycles,25790.584499999997,0.9056626379699144
2017-06-01,Cyclocross Bicycles,36099.655600000006,0.39972227461537413
2017-07-01,Cyclocross Bicycles,11694.081900000001,-0.6760611228656708
2017-08-01,Cyclocross Bicycles,18019.8541,0.5409379080883638
2017-09-01,Cyclocross Bicycles,12930.507399999999,-0.28242996151672517
2017-10-01,Cyclocross Bicycles,34112.199,1.638117588486899
2017-11-01,Cyclocross Bicycles,14472.183099999998,-0.5757475764022133
2017-12-01,Cyclocross Bicycles,36938.012500000004,1.5523455752850452
2018-01-01,Cyclocross Bicycles,15299.948,-0.5857939568351167
2018-02-01,Cyclocross Bicycles,2478.4,-0.8380125213497458
2018-03-01,Cyclocross Bicycles,11478.373,3.6313641865719815
2016-01-01,Electric Bikes,26159.9128,
2016-02-01,Electric Bikes,10799.964,-0.5871559633027523
2016-03-01,Electric Bikes,24749.9175,1.2916666666666665
2016-05-01,Electric Bikes,7889.9737000000005,-0.6812121212121212
2016-06-01,Electric Bikes,29999.899999999998,2.8022813688212924
2016-07-01,Electric Bikes,27089.909699999997,-0.09700000000000009
2016-08-01,Electric Bikes,21509.928299999996,-0.20598006644518274
2016-09-01,Electric Bikes,25139.9162,0.16875871687587196
2016-10-01,Electric Bikes,40019.866599999994,0.5918854415274462
2016-11-01,Electric Bikes,34829.8839,-0.12968515742128917
2016-12-01,Electric Bikes,29129.9029,-0.16365202411714042
2017-01-01,Electric Bikes,35835.9026,0.2302101631790885
2017-02-01,Electric Bikes,8243.967,-0.7699522991783107
2017-03-01,Electric Bikes,8681.966499999999,0.05312970078604118
2017-04-01,Electric Bikes,11899.973,0.3706541023856751
2017-05-01,Electric Bikes,14299.965,0.20168045759431563
2017-06-01,Electric Bikes,28303.9264,0.9793003968890832
2017-07-01,Electric Bikes,15857.9217,-0.43972714329839413
2017-08-01,Electric Bikes,45412.6498,1.8637201431004669
2017-09-01,Electric Bikes,35314.289,-0.2223688959898571
2017-10-01,Electric Bikes,16649.944499999998,-0.5285210329450496
2017-11-01,Electric Bikes,28200.737200000003,0.6937436157820229
2017-12-01,Electric Bikes,32969.9081,0.1691151144800569
2018-01-01,Electric Bikes,69578.8161,1.1103733710437607
2018-02-01,Electric Bikes,45699.88190000001,-0.34319259134390456
2018-03-01,Electric Bikes,59224.820700000004,0.2959512855983988
2016-01-01,Mountain Bikes,112350.64039999999,
2016-02-01,Mountain Bikes,62910.462799999994,-0.4400524769950488
2016-03-01,Mountain Bikes,86763.41489999996,0.3791571550797743
2016-04-01,Mountain Bikes,92345.43239999999,0.06433607421323417
2016-05-01,Mountain Bikes,109027.76059999998,0.18065136267638504
2016-06-01,Mountain Bikes,107788.99309999998,-0.011361945739166157
2016-07-01,Mountain Bikes,92524.81409999999,-0.14161166702651007
2016-08-01,Mountain Bikes,108270.20969999996,0.17017484177793096
2016-09-01,Mountain Bikes,159348.88599999997,0.4717703645493172
2016-10-01,Mountain Bikes,81953.99609999997,-0.4856945777455891
2016-11-01,Mountain Bikes,75863.05579999999,-0.07432145581489213
2016-12-01,Mountain Bikes,70936.82870000003,-0.06493578525214061
2017-01-01,Mountain Bikes,89036.07159999998,0.25514592675891556
2017-02-01,Mountain Bikes,104578.52059999999,0.17456350803329923
2017-03-01,Mountain Bikes,127185.20979999997,0.2161695257333749
2017-04-01,Mountain Bikes,61669.310399999995,-0.5151219980925801
2017-05-01,Mountain Bikes,85143.01439999997,0.3806383409794052
2017-06-01,Mountain Bikes,108154.1089,0.270264033545893
2017-07-01,Mountain Bikes,71503.80799999999,-0.3388710911934666
2017-08-01,Mountain Bikes,88614.7304,0.2393008551376734
2017-09-01,Mountain Bikes,92667.9757,0.045740084991557906
2017-10-01,Mountain Bikes,115235.6845,0.24353298568925164
2017-11-01,Mountain Bikes,103090.38739999996,-0.10539527883830146
2017-12-01,Mountain Bikes,49437.242399999996,-0.520447602857684
2018-01-01,Mountain Bikes,81514.46079999997,0.6488472423372866
2018-02-01,Mountain Bikes,59755.70000000002,-0.26693129766737
2018-03-01,Mountain Bikes,88749.54459999998,0.48520634182178357
2017-01-01,Road Bikes,93604.13919999998,
2017-02-01,Road Bikes,85239.43079999999,-0.0893625909226885
2017-03-01,Road Bikes,79888.64159999997,-0.06277363832420169
2017-04-01,Road Bikes,73436.28950000001,-0.08076682705792759
2017-05-01,Road Bikes,88156.95489999998,0.20045491813689686
2017-06-01,Road Bikes,132965.3267,0.5082794868632654
2017-07-01,Road Bikes,59750.664300000004,-0.5506297334581738
2017-08-01,Road Bikes,60231.6184,0.008049351511561165
2017-09-01,Road Bikes,104310.5498,0.7318237924020317
2017-10-01,Road Bikes,65952.96960000001,-0.36772483965950664
2017-11-01,Road Bikes,72998.67889999998,0.10682929582597556
2017-12-01,Road Bikes,88042.92129999999,0.2060892419794189
2018-01-01,Road Bikes,158524.74919999996,0.8005394057727613
2018-02-01,Road Bikes,52544.78329999999,-0.668538928052756
2018-03-01,Road Bikes,111507.92239999998,1.1221502002083623
