product_id,product_name,revenue,revenue_percentage
7,Trek Slash 8 27.5 - 2016,555558.6111,7.225259325154597
9,Trek Conduit+ - 2016,389248.7025,5.062333228844903
4,Trek Fuel EX 8 29 - 2016,368472.7293999999,4.792133486854193
11,Surly Straggler 650b - 2016,226765.55099999998,2.9491756211688935
56,Trek Domane SLR 6 Disc - 2017,211584.61529999995,2.7517415520365294
10,Surly Straggler - 2016,203507.6200000001,2.6466970356802717
8,Trek Remedy 29 Carbon Frameset - 2016,203380.8700999998,2.6450486031321265
61,Trek Powerfly 8 FS Plus - 2017,188249.62349999993,2.4482607603851725
58,Trek Madone 9.2 - 2017,175899.64819999997,2.28764445020851
51,Trek Silque SLR 8 Women's - 2017,174524.7315,2.2697631150811213
50,Trek Silque SLR 7 Women's - 2017,163079.72819999995,2.1209163234599475
43,Trek Fuel EX 9.8 27.5 Plus - 2017,159052.69989999998,2.0685432287118957
5,Heller Shagamaw Frame - 2016,151160.88570000013,1.965907065755054
40,Trek Fuel EX 9.8 29 - 2017,147449.70510000002,1.9176416951861563
62,Trek Boone 7 - 2017,127609.63539999998,1.6596137468337553
49,Trek Domane SL 6 - 2017,113644.67529999997,1.4779939210008783
3,Surly Wednesday Frameset - 2016,112288.87709999998,1.4603612295226889
47,Trek Remedy 9.8 - 2017,105469.80099999999,1.3716764495623701
55,Trek Domane S 6 - 2017,93527.65359999999,1.2163641024215759
63,Trek Boone Race Shop Limited - 2017,91244.7393,1.1866738996148107
28,Surly Karate Monkey 27.5+ Frameset - 2017,87474.65009999998,1.1376423994189448
16,Electra Townie Original 7D EQ - 2016,82744.62089999994,1.0761265001011635
2,Ritchey Timberwolf Frameset - 2016,78898.94799999996,1.0261120040118974
12,Electra Townie Original 21D - 2016,75772.12229999997,0.9854463998872024
26,Electra Townie Original 7D EQ - 2016,72424.79289999994,0.9419130579886263
6,Surly Ice Cream Truck Frameset - 2016,70371.6027,0.9152105079021597
54,Trek Domane SL Disc Frameset - 2017,68511.78589999999,0.8910228553146625
42,Trek Fuel EX 5 27.5 Plus - 2017,67849.70499999997,0.8824122315188038
24,Electra Townie Original 21D - 2016,67621.2705,0.8794413505562284
25,Electra Townie Original 7D - 2015/2016,66568.66859999996,0.865751846799654
20,Electra Townie Original 7D EQ - Women's - 2016,66508.89149999994,0.8649744219869044
15,Electra Moto 1 - 2016,65061.57239999999,0.846151465030043
59,Trek Domane S 5 Disc - 2017,59513.77109999998,0.7740001163225441
48,Trek Emonda S 4 - 2017,57359.61760000001,0.7459844986132406
155,Trek Domane SLR 9 Disc - 2018,54359.9547,0.7069726969643878
18,Pure Cycles Western 3-Speed - Women's - 2015/2016,54270.62999999997,0.7058109939347759
17,Pure Cycles Vine 8-Speed - 2016,51531.47999999999,0.670187265519675
60,Sun Bicycles ElectroLite - 2017,47049.298399999985,0.6118947222031119
41,Haro Shift R3 - 2017,46980.88040000001,0.6110049190704964
19,Pure Cycles William 3-Speed - 2016,43674.22999999999,0.5680006236455337
57,Trek Emonda S 5 - 2017,41079.794599999994,0.534258965802727
23,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,41011.63289999995,0.5333724959529149
81,Electra Amsterdam Fashion 7i Ladies' - 2017,39863.6376,0.5184423633245407
45,Haro SR 1.2 - 2017,39862.941799999986,0.5184333141705215
